"","pais","CountryCode","indicador","year","m3"
"2","Africa Eastern and Southern","AFE","Renewable internal freshwater resources per capita (cubic meters)","2018",3087.622821
"3","Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)","2018",1268.430511
"4","Africa Western and Central","AFW","Renewable internal freshwater resources per capita (cubic meters)","2018",4361.929784
"5","Angola","AGO","Renewable internal freshwater resources per capita (cubic meters)","2018",4803.668393
"6","Albania","ALB","Renewable internal freshwater resources per capita (cubic meters)","2018",9384.672492
"7","Andorra","AND","Renewable internal freshwater resources per capita (cubic meters)","2018",4098.275504
"8","Arab World","ARB","Renewable internal freshwater resources per capita (cubic meters)","2018",268.613709
"9","United Arab Emirates","ARE","Renewable internal freshwater resources per capita (cubic meters)","2018",15.57476166
"10","Argentina","ARG","Renewable internal freshwater resources per capita (cubic meters)","2018",6562.608567
"11","Armenia","ARM","Renewable internal freshwater resources per capita (cubic meters)","2018",2323.713361
"13","Antigua and Barbuda","ATG","Renewable internal freshwater resources per capita (cubic meters)","2018",540.0801811
"14","Australia","AUS","Renewable internal freshwater resources per capita (cubic meters)","2018",19693.63745
"15","Austria","AUT","Renewable internal freshwater resources per capita (cubic meters)","2018",6221.352791
"16","Azerbaijan","AZE","Renewable internal freshwater resources per capita (cubic meters)","2018",816.4171991
"17","Burundi","BDI","Renewable internal freshwater resources per capita (cubic meters)","2018",900.1931836
"18","Belgium","BEL","Renewable internal freshwater resources per capita (cubic meters)","2018",1050.139432
"19","Benin","BEN","Renewable internal freshwater resources per capita (cubic meters)","2018",896.8192086
"20","Burkina Faso","BFA","Renewable internal freshwater resources per capita (cubic meters)","2018",632.8644162
"21","Bangladesh","BGD","Renewable internal freshwater resources per capita (cubic meters)","2018",650.6514977
"22","Bulgaria","BGR","Renewable internal freshwater resources per capita (cubic meters)","2018",2989.308099
"23","Bahrain","BHR","Renewable internal freshwater resources per capita (cubic meters)","2018",2.548679784
"24","Bahamas, The","BHS","Renewable internal freshwater resources per capita (cubic meters)","2018",1815.187937
