"","X","pais","CountryCode","indicador","year","m3","AL"
"1",212,"El Salvador","SLV","Renewable internal freshwater resources per capita (cubic meters)","2018",2434.29885,1
"2",155,"Mexico","MEX","Renewable internal freshwater resources per capita (cubic meters)","2018",3241.124221,1
"3",478,"El Salvador","SLV","Renewable internal freshwater resources per capita (cubic meters)","1962",5332.310767,1
"4",10,"Argentina","ARG","Renewable internal freshwater resources per capita (cubic meters)","2018",6562.608567,1
"5",93,"Guatemala","GTM","Renewable internal freshwater resources per capita (cubic meters)","2018",6680.145226,1
"6",98,"Honduras","HND","Renewable internal freshwater resources per capita (cubic meters)","2018",9456.039897,1
"7",421,"Mexico","MEX","Renewable internal freshwater resources per capita (cubic meters)","1962",10175.31445,1
"8",276,"Argentina","ARG","Renewable internal freshwater resources per capita (cubic meters)","1962",13804.16112,1
"9",196,"Paraguay","PRY","Renewable internal freshwater resources per capita (cubic meters)","2018",16819.84466,1
"10",49,"Costa Rica","CRI","Renewable internal freshwater resources per capita (cubic meters)","2018",22602.51792,1
"11",176,"Nicaragua","NIC","Renewable internal freshwater resources per capita (cubic meters)","2018",24160.53695,1
"12",359,"Guatemala","GTM","Renewable internal freshwater resources per capita (cubic meters)","1962",24939.45559,1
"13",67,"Ecuador","ECU","Renewable internal freshwater resources per capita (cubic meters)","2018",25895.03065,1
"14",251,"Uruguay","URY","Renewable internal freshwater resources per capita (cubic meters)","2018",26730.13867,1
"15",29,"Bolivia","BOL","Renewable internal freshwater resources per capita (cubic meters)","2018",26732.69245,1
"16",30,"Brazil","BRA","Renewable internal freshwater resources per capita (cubic meters)","2018",27025.43742,1
"17",517,"Uruguay","URY","Renewable internal freshwater resources per capita (cubic meters)","1962",35408.65699,1
"18",364,"Honduras","HND","Renewable internal freshwater resources per capita (cubic meters)","1962",42056.95921,1
"19",46,"Colombia","COL","Renewable internal freshwater resources per capita (cubic meters)","2018",43192.7988,1
"20",40,"Chile","CHL","Renewable internal freshwater resources per capita (cubic meters)","2018",47252.50446,1
"21",462,"Paraguay","PRY","Renewable internal freshwater resources per capita (cubic meters)","1962",58305.40571,1
"22",296,"Brazil","BRA","Renewable internal freshwater resources per capita (cubic meters)","1962",73986.14186,1
"23",315,"Costa Rica","CRI","Renewable internal freshwater resources per capita (cubic meters)","1962",78836.51261,1
"24",295,"Bolivia","BOL","Renewable internal freshwater resources per capita (cubic meters)","1962",79805.50072,1
"25",442,"Nicaragua","NIC","Renewable internal freshwater resources per capita (cubic meters)","1962",82763.50967,1
"26",333,"Ecuador","ECU","Renewable internal freshwater resources per capita (cubic meters)","1962",91990.46659,1
"27",306,"Chile","CHL","Renewable internal freshwater resources per capita (cubic meters)","1962",104401.4347,1
"28",312,"Colombia","COL","Renewable internal freshwater resources per capita (cubic meters)","1962",125490.5613,1
