"","X","pais","CountryCode","indicador","year","m3","AL"
"1",128,"Kuwait","KWT","Renewable internal freshwater resources per capita (cubic meters)","2018",0,0
"2",394,"Kuwait","KWT","Renewable internal freshwater resources per capita (cubic meters)","1962",0,0
"3",23,"Bahrain","BHR","Renewable internal freshwater resources per capita (cubic meters)","2018",2.548679784,0
"4",68,"Egypt, Arab Rep.","EGY","Renewable internal freshwater resources per capita (cubic meters)","2018",10.16016463,0
"5",9,"United Arab Emirates","ARE","Renewable internal freshwater resources per capita (cubic meters)","2018",15.57476166,0
"6",201,"Qatar","QAT","Renewable internal freshwater resources per capita (cubic meters)","2018",20.13170449,0
"7",289,"Bahrain","BHR","Renewable internal freshwater resources per capita (cubic meters)","1962",23.10269146,0
"8",334,"Egypt, Arab Rep.","EGY","Renewable internal freshwater resources per capita (cubic meters)","1962",35.57167126,0
"9",153,"Maldives","MDV","Renewable internal freshwater resources per capita (cubic meters)","2018",58.17290539,0
"10",119,"Jordan","JOR","Renewable internal freshwater resources per capita (cubic meters)","2018",68.43732696,0
"11",206,"Saudi Arabia","SAU","Renewable internal freshwater resources per capita (cubic meters)","2018",71.21079145,0
"12",263,"Yemen, Rep.","YEM","Renewable internal freshwater resources per capita (cubic meters)","2018",73.68761567,0
"13",116,"Israel","ISR","Renewable internal freshwater resources per capita (cubic meters)","2018",84.43283649,0
"14",167,"Mauritania","MRT","Renewable internal freshwater resources per capita (cubic meters)","2018",90.84071263,0
"15",207,"Sudan","SDN","Renewable internal freshwater resources per capita (cubic meters)","2018",95.69027279,0
"16",160,"Malta","MLT","Renewable internal freshwater resources per capita (cubic meters)","2018",104.2032066,0
"17",133,"Libya","LBY","Renewable internal freshwater resources per capita (cubic meters)","2018",104.8129351,0
"18",209,"Singapore","SGP","Renewable internal freshwater resources per capita (cubic meters)","2018",106.4079582,0
"19",426,"Malta","MLT","Renewable internal freshwater resources per capita (cubic meters)","1962",155.9123186,0
"20",174,"Niger","NER","Renewable internal freshwater resources per capita (cubic meters)","2018",155.9518048,0
"21",197,"West Bank and Gaza","PSE","Renewable internal freshwater resources per capita (cubic meters)","2018",177.7160295,0
"22",236,"Turkmenistan","TKM","Renewable internal freshwater resources per capita (cubic meters)","2018",240.1339144,0
"23",185,"Pakistan","PAK","Renewable internal freshwater resources per capita (cubic meters)","2018",259.1548964,0
"24",61,"Algeria","DZA","Renewable internal freshwater resources per capita (cubic meters)","2018",266.3372518,0
"25",8,"Arab World","ARB","Renewable internal freshwater resources per capita (cubic meters)","2018",268.613709,0
"26",31,"Barbados","BRB","Renewable internal freshwater resources per capita (cubic meters)","2018",279.0957298,0
"27",183,"Oman","OMN","Renewable internal freshwater resources per capita (cubic meters)","2018",289.8865219,0
"28",57,"Djibouti","DJI","Renewable internal freshwater resources per capita (cubic meters)","2018",312.8509797,0
"29",419,"Maldives","MDV","Renewable internal freshwater resources per capita (cubic meters)","1962",316.1155719,0
"30",382,"Israel","ISR","Renewable internal freshwater resources per capita (cubic meters)","1962",327.0824248,0
"31",475,"Singapore","SGP","Renewable internal freshwater resources per capita (cubic meters)","1962",342.8179637,0
"32",297,"Barbados","BRB","Renewable internal freshwater resources per capita (cubic meters)","1962",343.9040852,0
"33",244,"Tunisia","TUN","Renewable internal freshwater resources per capita (cubic meters)","2018",362.7260153,0
"34",529,"Yemen, Rep.","YEM","Renewable internal freshwater resources per capita (cubic meters)","1962",383.6547721,0
"35",214,"Somalia","SOM","Renewable internal freshwater resources per capita (cubic meters)","2018",399.7807869,0
"36",122,"Kenya","KEN","Renewable internal freshwater resources per capita (cubic meters)","2018",402.7819586,0
"37",228,"Syrian Arab Republic","SYR","Renewable internal freshwater resources per capita (cubic meters)","2018",420.8895783,0
"38",433,"Mauritania","MRT","Renewable internal freshwater resources per capita (cubic meters)","1962",443.6114407,0
"39",399,"Libya","LBY","Renewable internal freshwater resources per capita (cubic meters)","1962",451.375567,0
"40",126,"St. Kitts and Nevis","KNA","Renewable internal freshwater resources per capita (cubic meters)","2018",457.6833594,0
"41",392,"St. Kitts and Nevis","KNA","Renewable internal freshwater resources per capita (cubic meters)","1962",470.9483723,0
"42",253,"Uzbekistan","UZB","Renewable internal freshwater resources per capita (cubic meters)","2018",495.8110942,0
"43",154,"Middle East & North Africa","MEA","Renewable internal freshwater resources per capita (cubic meters)","2018",513.3446055,0
"44",13,"Antigua and Barbuda","ATG","Renewable internal freshwater resources per capita (cubic meters)","2018",540.0801811,0
"45",472,"Saudi Arabia","SAU","Renewable internal freshwater resources per capita (cubic meters)","1962",550.10695,0
"46",48,"Cabo Verde","CPV","Renewable internal freshwater resources per capita (cubic meters)","2018",551.709933,0
"47",162,"Middle East & North Africa (excluding high income)","MNA","Renewable internal freshwater resources per capita (cubic meters)","2018",589.2804679,0
"48",239,"Middle East & North Africa (IDA & IBRD countries)","TMN","Renewable internal freshwater resources per capita (cubic meters)","2018",594.2501902,0
"49",368,"Hungary","HUN","Renewable internal freshwater resources per capita (cubic meters)","1962",596.3186862,0
"50",151,"Moldova","MDA","Renewable internal freshwater resources per capita (cubic meters)","2018",598.1802029,0
"51",102,"Hungary","HUN","Renewable internal freshwater resources per capita (cubic meters)","2018",613.775328,0
"52",20,"Burkina Faso","BFA","Renewable internal freshwater resources per capita (cubic meters)","2018",632.8644162,0
"53",177,"Netherlands","NLD","Renewable internal freshwater resources per capita (cubic meters)","2018",638.3611899,0
"54",21,"Bangladesh","BGD","Renewable internal freshwater resources per capita (cubic meters)","2018",650.6514977,0
"55",54,"Cyprus","CYP","Renewable internal freshwater resources per capita (cubic meters)","2018",655.8689338,0
"56",385,"Jordan","JOR","Renewable internal freshwater resources per capita (cubic meters)","1962",674.8152421,0
"57",131,"Lebanon","LBN","Renewable internal freshwater resources per capita (cubic meters)","2018",699.768843,0
"58",204,"Rwanda","RWA","Renewable internal freshwater resources per capita (cubic meters)","2018",772.2341033,0
"59",264,"South Africa","ZAF","Renewable internal freshwater resources per capita (cubic meters)","2018",775.1868235,0
"60",149,"Morocco","MAR","Renewable internal freshwater resources per capita (cubic meters)","2018",804.9051698,0
"61",70,"Eritrea","ERI","Renewable internal freshwater resources per capita (cubic meters)","2018",810.9367565,0
"62",16,"Azerbaijan","AZE","Renewable internal freshwater resources per capita (cubic meters)","2018",816.4171991,0
"63",266,"Zimbabwe","ZWE","Renewable internal freshwater resources per capita (cubic meters)","2018",849.1003276,0
"64",169,"Malawi","MWI","Renewable internal freshwater resources per capita (cubic meters)","2018",889.5887526,0
"65",19,"Benin","BEN","Renewable internal freshwater resources per capita (cubic meters)","2018",896.8192086,0
"66",17,"Burundi","BDI","Renewable internal freshwater resources per capita (cubic meters)","2018",900.1931836,0
"67",254,"St. Vincent and the Grenadines","VCT","Renewable internal freshwater resources per capita (cubic meters)","2018",907.3586789,0
"68",248,"Uganda","UGA","Renewable internal freshwater resources per capita (cubic meters)","2018",912.7283763,0
"69",114,"Iraq","IRQ","Renewable internal freshwater resources per capita (cubic meters)","2018",915.8651892,0
"70",279,"Antigua and Barbuda","ATG","Renewable internal freshwater resources per capita (cubic meters)","1962",931.0820247,0
"71",443,"Netherlands","NLD","Renewable internal freshwater resources per capita (cubic meters)","1962",931.7541738,0
"72",180,"Nauru","NRU","Renewable internal freshwater resources per capita (cubic meters)","2018",936.5049635,0
"73",327,"Algeria","DZA","Renewable internal freshwater resources per capita (cubic meters)","1962",967.9144993,0
"74",230,"Chad","TCD","Renewable internal freshwater resources per capita (cubic meters)","2018",969.1345506,0
"75",510,"Tunisia","TUN","Renewable internal freshwater resources per capita (cubic meters)","1962",974.3403576,0
"76",440,"Niger","NER","Renewable internal freshwater resources per capita (cubic meters)","1962",975.4118189,0
"77",467,"Qatar","QAT","Renewable internal freshwater resources per capita (cubic meters)","1962",995.2724558,0
"78",84,"Ghana","GHA","Renewable internal freshwater resources per capita (cubic meters)","2018",1017.902041,0
"79",59,"Denmark","DNK","Renewable internal freshwater resources per capita (cubic meters)","2018",1035.619083,0
"80",18,"Belgium","BEL","Renewable internal freshwater resources per capita (cubic meters)","2018",1050.139432,0
"81",34,"Botswana","BWA","Renewable internal freshwater resources per capita (cubic meters)","2018",1064.742086,0
"82",110,"India","IND","Renewable internal freshwater resources per capita (cubic meters)","2018",1069.018778,0
"83",205,"South Asia","SAS","Renewable internal freshwater resources per capita (cubic meters)","2018",1092.438214,0
"84",241,"South Asia (IDA & IBRD)","TSA","Renewable internal freshwater resources per capita (cubic meters)","2018",1092.438214,0
"85",73,"Ethiopia","ETH","Renewable internal freshwater resources per capita (cubic meters)","2018",1116.966436,0
"86",175,"Nigeria","NGA","Renewable internal freshwater resources per capita (cubic meters)","2018",1128.272395,0
"87",451,"Pakistan","PAK","Renewable internal freshwater resources per capita (cubic meters)","1962",1165.28174,0
"88",101,"Haiti","HTI","Renewable internal freshwater resources per capita (cubic meters)","2018",1169.359526,0
"89",520,"St. Vincent and the Grenadines","VCT","Renewable internal freshwater resources per capita (cubic meters)","1962",1201.359939,0
"90",215,"Serbia","SRB","Renewable internal freshwater resources per capita (cubic meters)","2018",1203.992092,0
"91",274,"Arab World","ARB","Renewable internal freshwater resources per capita (cubic meters)","1962",1208.615449,0
"92",249,"Ukraine","UKR","Renewable internal freshwater resources per capita (cubic meters)","2018",1234.802572,0
"93",55,"Czech Republic","CZE","Renewable internal freshwater resources per capita (cubic meters)","2018",1237.07329,0
"94",127,"Korea, Rep.","KOR","Renewable internal freshwater resources per capita (cubic meters)","2018",1257.146982,0
"95",3,"Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)","2018",1268.430511,0
"96",56,"Germany","DEU","Renewable internal freshwater resources per capita (cubic meters)","2018",1290.621684,0
"97",325,"Denmark","DNK","Renewable internal freshwater resources per capita (cubic meters)","1962",1290.953621,0
"98",284,"Belgium","BEL","Renewable internal freshwater resources per capita (cubic meters)","1962",1301.436851,0
"99",87,"Gambia, The","GMB","Renewable internal freshwater resources per capita (cubic meters)","2018",1315.736383,0
"100",275,"United Arab Emirates","ARE","Renewable internal freshwater resources per capita (cubic meters)","1962",1337.947767,0
"101",320,"Cyprus","CYP","Renewable internal freshwater resources per capita (cubic meters)","1962",1350.191104,0
"102",191,"Poland","POL","Renewable internal freshwater resources per capita (cubic meters)","2018",1411.464197,0
"103",314,"Cabo Verde","CPV","Renewable internal freshwater resources per capita (cubic meters)","1962",1427.612888,0
"104",47,"Comoros","COM","Renewable internal freshwater resources per capita (cubic meters)","2018",1441.749707,0
"105",322,"Germany","DEU","Renewable internal freshwater resources per capita (cubic meters)","1962",1445.442307,0
"106",233,"Togo","TGO","Renewable internal freshwater resources per capita (cubic meters)","2018",1457.708394,0
"107",494,"Syrian Arab Republic","SYR","Renewable internal freshwater resources per capita (cubic meters)","1962",1462.845629,0
"108",247,"Tanzania","TZA","Renewable internal freshwater resources per capita (cubic meters)","2018",1491.65091,0
"109",113,"Iran, Islamic Rep.","IRN","Renewable internal freshwater resources per capita (cubic meters)","2018",1570.900728,0
"110",208,"Senegal","SEN","Renewable internal freshwater resources per capita (cubic meters)","2018",1627.316308,0
"111",145,"Luxembourg","LUX","Renewable internal freshwater resources per capita (cubic meters)","2018",1644.872111,0
"112",134,"St. Lucia","LCA","Renewable internal freshwater resources per capita (cubic meters)","2018",1649.348507,0
"113",457,"Poland","POL","Renewable internal freshwater resources per capita (cubic meters)","1962",1768.480789,0
