"","nombre","disponibilidad","recarga","dncom","clave","code","st","Estado","vcas","ivcas","idas","zd"
"1","ORIENTE AGUANAVAL",-41.35342,32.3,30,"1024",1024,10,"10",43.65342,18.979747826087,-17.979747826087,1
"2","EL COYOTE",-4.73524,3.2,2.7,"325",325,3,"3",5.23524,10.47048,-9.47048,1
"3","CABO SAN LUCAS",-4.611382,2.7,2.2,"317",317,3,"3",5.111382,10.222764,-9.222764,1
"4","SANTA MARÍA DEL RÍO",-13.02277,3.7,0,"2417",2417,24,"24",16.72277,4.51966756756757,-3.51966756756757,1
"5","LA PURÍSIMA",-1.734734,9.5,9,"304",304,3,"3",2.234734,4.469468,-3.469468,1
"6","CABO PULMO",-0.68857,2.2,2,"318",318,3,"3",0.88857,4.44285,-3.44285,1
"7","SONOYTA-PUERTO PEÑASCO",-82.06336,41.4,15.9,"2603",2603,26,"26",107.56336,4.21817098039216,-3.21817098039216,1
"8","SAN JOSE DE GUAYMAS",-13.92813,4.5,0,"2636",2636,26,"26",18.42813,4.09514,-3.09514,1
"9","PASTOR ORTIZ-LA PIEDAD",-68.98574,28.7,0.1,"1605",1605,16,"16",97.58574,3.41208881118881,-2.41208881118881,1
"10","GUADALUPE DE LAS CORRIENTES",-30.93463,13,0,"3223",3223,32,"32",43.93463,3.37958692307692,-2.37958692307692,1
"11","VILLA JUÁREZ",-30.20176,13,0,"1022",1022,10,"10",43.20176,3.32321230769231,-2.32321230769231,1
"12","SAN RAFAEL",-27.95671,12.4,0,"217",217,2,"2",40.35671,3.25457338709677,-2.25457338709677,1
"13","COYOTILLO",-8.869675,4,0,"2610",2610,26,"26",12.869675,3.21741875,-2.21741875,1
"14","SALVATIERRA-ACAMBARO",-60.6134,28.4,0,"1118",1118,11,"11",89.0134,3.13427464788732,-2.13427464788732,1
"15","CAMALU",-8.115188,3.9,0,"219",219,2,"2",12.015188,3.08081743589744,-2.08081743589744,1
"16","SAN SIMÓN",-17.59819,14,5.3,"246",246,2,"2",26.29819,3.02278045977011,-2.02278045977011,1
"17","SAN TELMO",-15.87017,8.5,0,"218",218,2,"2",24.37017,2.86707882352941,-1.86707882352941,1
"18","ENSENADA",-6.807665,3.7,0,"211",211,2,"2",10.507665,2.83990945945946,-1.83990945945946,1
"19","EL BARRIL",-57.53611,31.6,0,"2402",2402,24,"24",89.13611,2.82076297468354,-1.82076297468354,1
"20","SAN MARCOS-PALO VERDE",-2.169205,1.7,0.5,"333",333,3,"3",3.369205,2.80767083333333,-1.80767083333333,1
"21","LAGUNA DE PALOMAS",-40,23.3,0,"848",848,8,"8",63.3,2.71673819742489,-1.71673819742489,1
"22","CUAUHTÉMOC",-197.0395,115.2,0,"805",805,8,"8",312.2395,2.71041232638889,-1.71041232638889,1
"23","PUERTO MADERO",-15.15106,8.9,0,"3224",3224,32,"32",24.05106,2.70236629213483,-1.70236629213483,1
"24","CIENEGA PRIETA-MOROLEON",-122.1,85,9,"1122",1122,11,"11",198.1,2.60657894736842,-1.60657894736842,1
"25","CHUPADEROS",-113.409,72.8,0,"3226",3226,32,"32",186.209,2.55781593406593,-1.55781593406593,1
"26","TOLUQUILLA",-72.31811,49.1,2.4,"1402",1402,14,"14",119.01811,2.54856766595289,-1.54856766595289,1
"27","CITRICOLA SUR",-37.16666,75.1,47.1,"1914",1914,19,"19",65.16666,2.32738071428571,-1.32738071428571,1
"28","ÁREA METROPOLITANA DE MONTERREY",-56.27104,68.2,24.5,"1906",1906,19,"19",99.97104,2.28766681922197,-1.28766681922197,1
