LONGITUDE,LATITUDE,LONDEC,LATDEC,REGIONAL,FOLIOREG,TITULAR,ESTADO,MUPIO,USO_SUB,CVE_ACUHOM,ACU_SUBHOM,VOL_CONS,NUM,KML_STYLE
"107° 26' 37.0000"" W","28° 30' 33.0000"" N",-107.4436111,28.50916667,2,02CHI100081/09AMGE05,LAS TIERRAS ALTAS DE BAZAN MARTINEZ S.P.R. DE R.L.,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,344000,1,point1
"107° 24' 00.0000"" W","28° 30' 35.0000"" N",-107.4,28.50972222,2,02CHI105414/09AMGE06,JOSE RAFAEL ESTRADA COMADURAN,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,290000,1,point1
"107° 23' 56.0000"" W","28° 30' 30.0000"" N",-107.3988889,28.50833333,2,02CHI106270/09AMGE06,JOSE RAFAEL ESTRADA COMADURAN,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,150000,1,point1
"107° 26' 50.0000"" W","28° 34' 25.0000"" N",-107.4472222,28.57361111,2,02CHI106527/09AMGE00,AGROPRODUCTOS TARAHUMARA S.P.R. DE R.L.,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,61000,1,point1
"107° 26' 19.0000"" W","28° 34' 06.0000"" N",-107.4386111,28.56833333,2,02CHI106599/09AMGE00,UNIDAD DE RIEGO RANCHO AIVEN,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,6000,1,point1
"107° 26' 34.0000"" W","28° 31' 03.0000"" N",-107.4427778,28.5175,2,02CHI106756/09AMGE00,SECTOR DE TRABAJO NUM. 3; EJIDO GUERRERO,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,198000,1,point1
"107° 24' 47.0000"" W","28° 34' 53.0000"" N",-107.4130556,28.58138889,2,02CHI106988/09AMGE99,MANZANARES DEL FRIO  S.P.R. DE R.L.,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,20000,1,point1
"107° 24' 03.0000"" W","28° 35' 04.0000"" N",-107.4008333,28.58444444,2,02CHI106988/09AMGE99,MANZANARES DEL FRIO  S.P.R. DE R.L.,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,64000,2,point1
"107° 24' 54.0000"" W","28° 34' 57.0000"" N",-107.415,28.5825,2,02CHI106988/09AMGE99,MANZANARES DEL FRIO  S.P.R. DE R.L.,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,64000,3,point1
"107° 24' 27.0000"" W","28° 34' 44.0000"" N",-107.4075,28.57888889,2,02CHI106988/09AMGE99,MANZANARES DEL FRIO  S.P.R. DE R.L.,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,64000,4,point1
"107° 11' 30.0000"" W","28° 32' 08.0000"" N",-107.1916667,28.53555556,2,02CHI106990/09AMDL07,IGNACIO LOYA CEBALLOS,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,240000,1,point1
"107° 29' 05.0000"" W","28° 36' 37.0000"" N",-107.4847222,28.61027778,2,02CHI107546/09AMGE06,JOSE RAFAEL ESTRADA COMADURAN,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,39000,1,point1
"107° 31' 29.0000"" W","28° 39' 27.0000"" N",-107.5247222,28.6575,2,02CHI107547/09AMGE06,JOSE RAFAEL ESTRADA COMADURAN,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,66000,1,point1
"107° 53' 23.0000"" W","29° 22' 04.0000"" N",-107.8897222,29.36777778,2,02CHI107641/09AMGE00,ERASMO TREJO ARREOLA,8,40,AGRICOLA,802,ALTA BABICORA,120000,1,point1
"107° 59' 49.0000"" W","29° 21' 12.0000"" N",-107.9969444,29.35333333,2,02CHI107645/09AMGE00,MIGUEL ANGEL REYES ORTIZ,8,40,AGRICOLA,802,ALTA BABICORA,120000,1,point1
"107° 59' 04.0000"" W","29° 21' 07.0000"" N",-107.9844444,29.35194444,2,02CHI107647/09AMGE00,MIGUEL ANGEL REYES ORTIZ,8,40,AGRICOLA,802,ALTA BABICORA,120000,1,point1
"107° 23' 49.0000"" W","28° 31' 21.0000"" N",-107.3969444,28.5225,2,02CHI108718/09APGE00,POMPOSO ALMADA JAQUEZ,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,12000,1,point1
"107° 24' 56.0000"" W","28° 25' 16.0000"" N",-107.4155556,28.42111111,2,02CHI110366/09AMGE06,OSCAR ERIVES SOMOZA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,80000,1,point1
"107° 30' 42.0000"" W","28° 24' 34.0000"" N",-107.5116667,28.40944444,2,02CHI111750/09AMGE00,IGNACIO ANSELMO GONZALEZ ZEPEDA,8,31,AGRICOLA,860,GUERRERO-YEPOMERA,300000,1,point1
"107° 54' 00.0000"" W","29° 24' 10.0000"" N",-107.9,29.40277778,2,02CHI113796/09AMGE04,GRUPO DE TRABAJO POZO # 2; COL. ALAMILLO,8,40,AGRICOLA,802,ALTA BABICORA,360000,1,point1
"107° 24' 08.0000"" W","28° 31' 18.0000"" N",-107.4022222,28.52166667,2,02CHI114376/09HMGE98,COMITE DE AGUA POTABLE DE BASUCHIL,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,268750,1,point1
"107° 34' 23.0000"" W","28° 40' 55.1000"" N",-107.5730556,28.68197222,2,02CHI114377/09HMGE98,COMITE DE AGUA POTABLE DE SANTO TOMAS,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,98375,1,point1
"107° 30' 47.0000"" W","28° 32' 25.0000"" N",-107.5130556,28.54027778,2,02CHI114378/09HMGE98,COMITE DE AGUA POTABLE RANCHO COLORADO,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,33125,1,point1
"107° 29' 08.0000"" W","28° 31' 34.0000"" N",-107.4855556,28.52611111,2,02CHI114379/09HMGE98,COMITE DE AGUA POTABLE EL CONSUELO,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,75000,1,point1
"107° 11' 11.0000"" W","28° 55' 52.0000"" N",-107.1863889,28.93111111,2,02CHI114380/09HMGE98,COMITE DE AGUA POTABLE DE PARAMO DE MORELOS,8,31,PUBLICO URBANO,860,GUERRERO-YEPOMERA,150000,1,point1
