"","pais","CountryCode","indicador","X2018","X1962"
"1","Aruba","ABW","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"2","Africa Eastern and Southern","AFE","Renewable internal freshwater resources per capita (cubic meters)",3087.622821,17887.78687
"3","Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)",1268.430511,5042.003148
"4","Africa Western and Central","AFW","Renewable internal freshwater resources per capita (cubic meters)",4361.929784,18888.64214
"5","Angola","AGO","Renewable internal freshwater resources per capita (cubic meters)",4803.668393,26388.52213
"6","Albania","ALB","Renewable internal freshwater resources per capita (cubic meters)",9384.672492,15718.86948
"7","Andorra","AND","Renewable internal freshwater resources per capita (cubic meters)",4098.275504,20521.49034
"8","Arab World","ARB","Renewable internal freshwater resources per capita (cubic meters)",268.613709,1208.615449
"9","United Arab Emirates","ARE","Renewable internal freshwater resources per capita (cubic meters)",15.57476166,1337.947767
"10","Argentina","ARG","Renewable internal freshwater resources per capita (cubic meters)",6562.608567,13804.16112
"11","Armenia","ARM","Renewable internal freshwater resources per capita (cubic meters)",2323.713361,NA
"12","American Samoa","ASM","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"13","Antigua and Barbuda","ATG","Renewable internal freshwater resources per capita (cubic meters)",540.0801811,931.0820247
"14","Australia","AUS","Renewable internal freshwater resources per capita (cubic meters)",19693.63745,45801.52672
"15","Austria","AUT","Renewable internal freshwater resources per capita (cubic meters)",6221.352791,7714.032133
"16","Azerbaijan","AZE","Renewable internal freshwater resources per capita (cubic meters)",816.4171991,NA
"17","Burundi","BDI","Renewable internal freshwater resources per capita (cubic meters)",900.1931836,3460.231416
"18","Belgium","BEL","Renewable internal freshwater resources per capita (cubic meters)",1050.139432,1301.436851
"19","Benin","BEN","Renewable internal freshwater resources per capita (cubic meters)",896.8192086,4115.23127
"20","Burkina Faso","BFA","Renewable internal freshwater resources per capita (cubic meters)",632.8644162,2519.994646
"21","Bangladesh","BGD","Renewable internal freshwater resources per capita (cubic meters)",650.6514977,2068.87787
"22","Bulgaria","BGR","Renewable internal freshwater resources per capita (cubic meters)",2989.308099,2620.758957
"23","Bahrain","BHR","Renewable internal freshwater resources per capita (cubic meters)",2.548679784,23.10269146
"24","Bahamas, The","BHS","Renewable internal freshwater resources per capita (cubic meters)",1815.187937,5780.728702
"25","Bosnia and Herzegovina","BIH","Renewable internal freshwater resources per capita (cubic meters)",10680.13186,NA
"26","Belarus","BLR","Renewable internal freshwater resources per capita (cubic meters)",3602.158541,NA
"27","Belize","BLZ","Renewable internal freshwater resources per capita (cubic meters)",39835.9573,156686.3808
"28","Bermuda","BMU","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"29","Bolivia","BOL","Renewable internal freshwater resources per capita (cubic meters)",26732.69245,79805.50072
"30","Brazil","BRA","Renewable internal freshwater resources per capita (cubic meters)",27025.43742,73986.14186
"31","Barbados","BRB","Renewable internal freshwater resources per capita (cubic meters)",279.0957298,343.9040852
"32","Brunei Darussalam","BRN","Renewable internal freshwater resources per capita (cubic meters)",19815.3674,94989.04832
"33","Bhutan","BTN","Renewable internal freshwater resources per capita (cubic meters)",103393.9735,405027.4566
"34","Botswana","BWA","Renewable internal freshwater resources per capita (cubic meters)",1064.742086,4582.102689
"35","Central African Republic","CAF","Renewable internal freshwater resources per capita (cubic meters)",30216.17423,90855.90125
"36","Canada","CAN","Renewable internal freshwater resources per capita (cubic meters)",76891.77232,153110.5619
"37","Central Europe and the Baltics","CEB","Renewable internal freshwater resources per capita (cubic meters)",2440.15779,1833.887491
"38","Switzerland","CHE","Renewable internal freshwater resources per capita (cubic meters)",4744.94232,7248.177415
"39","Channel Islands","CHI","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"40","Chile","CHL","Renewable internal freshwater resources per capita (cubic meters)",47252.50446,104401.4347
"41","China","CHN","Renewable internal freshwater resources per capita (cubic meters)",2005.261057,4225.032669
"42","Cote d'Ivoire","CIV","Renewable internal freshwater resources per capita (cubic meters)",3065.112581,20377.87648
"43","Cameroon","CMR","Renewable internal freshwater resources per capita (cubic meters)",10826.34733,50567.44827
"44","Congo, Dem. Rep.","COD","Renewable internal freshwater resources per capita (cubic meters)",10705.60754,56105.57373
"45","Congo, Rep.","COG","Renewable internal freshwater resources per capita (cubic meters)",42331.16586,207624.8836
"46","Colombia","COL","Renewable internal freshwater resources per capita (cubic meters)",43192.7988,125490.5613
"47","Comoros","COM","Renewable internal freshwater resources per capita (cubic meters)",1441.749707,6085.130982
"48","Cabo Verde","CPV","Renewable internal freshwater resources per capita (cubic meters)",551.709933,1427.612888
"49","Costa Rica","CRI","Renewable internal freshwater resources per capita (cubic meters)",22602.51792,78836.51261
